electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,address,region,country,commissioning_date,solar_mounting_type,chp,capacity_individual_turbine,number_of_turbines,site_name,uk_beis_id,operator,comment,Affected_1m,Affected_2m,Affected_3m,Priority_Score,Priority_Save
7.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM95,-4.09000062370825,55.7416061216988,Strathclyde,,Near Laigh Muirhouses Farm Muttonhole Road Hamilton ,Scotland,Scotland,2014/01/15,,,2.5,3,Blantyre Muir Wind Farm extension,4240,West Coast Energy,,0,0,0,0.0,0
15.3,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM92,-4.72796800922437,54.8590957294409,Dumfries and Galloway,,"Gelnluce, nr Luce Bay Dumfries and Galloway",Scotland,Scotland,2014/01/15,,,0.85,18,Carscreugh Renewable Energy Park,4501,John Laing Environmental Assets Group/ REG Power Management,,0,0,0,0.0,0
20.0,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH2,UKH25,-0.24527877784555,52.0589870291337,Bedfordshire,,"Edworth Road, Langford, Biggleswade, Bedfordshire, SG18 9PJ",Eastern,England,2014/01/30,,,2.0,10,Langford Wind Farm,4666,Co-operative Group,,0,0,0,0.0,0
18.4,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.48616388309013,56.9687756240187,Grampian,,"Mid Hill, FetteressoStonehaven",Scotland,Scotland,2014/02/12,,,2.3,8,Mid Hill - Phase II,4627,Fred Olsen Renewables,,0,0,0,0.0,0
10.0,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF2,UKF25,-0.53729309501682,52.3076399084254,Northamptonshire,,"Chelveston Airfield, East Northamptonshore",East Midlands,England,2014/02/15,,,2.5,4,Chelveston Renewable Energy Park Wind Farm (Bedford),3795,Chelveston Renewable Energy Ltd,,0,0,0,0.0,0
12.5,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF2,UKF25,-0.53659651539818,52.3011847596762,Northamptonshire,,Chelveston AirfieldEast Northamptonshore,East Midlands,England,2014/02/15,,,2.5,5,Chelveston Renewable Energy Park Wind Farm (East Northamptonshire),3946,Chelveston Renewable Energy,,0,0,0,0.0,0
2.5,Renewable energy,Wind,,Onshore,BEIS,UKI,UKI5,UKI51,0.14212578381331,51.5021675347703,Greater London,SE2 9AR,"Belvedere Road, London",London,England,2014/02/16,,,2.5,1,Crossness Sewage Works Turbine,3862,Thames Water Utilities,,0,0,0,0.0,0
2.5,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF2,UKF22,-1.11787749910213,52.6980471331716,Leicestershire,LE7 4PF,"Fillingate, Wanlip, Leicester",East Midlands,England,2014/02/26,,,2.5,1,Severn Trent STW,3699,Severn Trent Water,,0,0,0,0.0,0
1.6,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL14,-4.68442374756316,51.7719501457779,Dyfed,SA67 8JD,"Princes Gate Spring Water, Ludchurch, Narberth, ",Wales,Wales,2014/03/09,,,0.8,2,Princes Gate Spring Water,3378,Princes Gate Spring Water,,0,0,0,0.0,0
15.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN16,-7.63650330868595,54.1979196324649,Co. Fermanagh,,Land at Molly Mountain near Derrylin,Northern Ireland,Northern Ireland,2014/03/12,,,3.0,5,Molly Mountain,4066,Erne Concrete Pumping,,0,0,0,0.0,0
8.0,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE3,UKE31,-1.25495696724001,53.5765819684177,South Yorkshire,,Land Near Hampole WoodHampoleDoncaster,Yorkshire and Humber,England,2014/03/31,,,2.0,4,Hampole Wind Farm,3957,Good Energy (previously nPower Renewables),,0,0,0,0.0,0
1.5,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF2,UKF24,-1.2793181842253,52.1741639770371,Northamptonshire,,"Upper Boddington, Northamptonshire. NN1",East Midlands,England,2014/04/24,,,1.5,1,Boddington Reservoir,3732,,,0,0,0,0.0,0
10.0,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH1,UKH12,-0.3079587540906,52.3398496356347,Cambridgeshire,,"North of the A14, between the villages of Ellington & Woolley",Eastern,England,2014/04/30,,,2.3,4,Woolley Hill Wind Farm,4175,Aviva,,0,0,0,0.0,0
4.6,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF3,UKF30,0.00901040513857,53.5092881979134,Lincolnshire,,"Newton Marsh Sewage Treatment Works, Tetney, North-East Lincolnshire",East Midlands,England,2014/04/30,,,2.3,2,Newton Marsh Wind Project,3827,TCI Renewables,,1,0,1,4.6,0
6.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM95,-3.60554640396522,55.7583925408169,Strathclyde,,"Stellashaw Moss, South Lanarkshire",Scotland,Scotland,2014/04/30,,,3.4,2,Muirhall Extension,3873,Muirhall Energy,,0,0,0,0.0,0
8.0,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF1,UKF13,-1.63358780936655,53.0844550464593,Derbyshire,,"Carsington Pasture, Derbyshire Dales",East Midlands,England,2014/05/02,,,2.0,4,Carsington Pasture,4665,Carsington Wind Energy Limited,,0,0,0,0.0,0
18.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM61,-4.84136421748596,57.6801141406605,Highland,,"Btwn Loch Luichart and Loch Glascarnoch, Lochluichart, Garve, Highlands, IV23.",Scotland,Scotland,2014/05/14,,,3.0,6,Lochluichart (Extension),4395,Infinergy,,0,0,0,0.0,0
51.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM61,-4.81670127964916,57.6545948776061,Highland,,"Loch Luichart, Garve",Scotland,Scotland,2014/05/14,,,3.0,17,Lochluichart,4123,Eneco,,0,0,0,0.0,0
5.0,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF1,UKF11,-1.4131266974833,52.9081464389656,Derbyshire,,"Megaloughton Lane, Spondon, Derby",East Midlands,England,2014/05/15,,,3.4,2,Derby Sewage Treatment Works,4068,Severn Trent Water,,0,0,0,0.0,0
66.7,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM62,-3.47539262968693,57.4466119167707,Grampian,,Adjacent to Paul's Hill SiteAltyre EstateBallindalF,Scotland,Scotland,2014/05/30,,,2.3,29,Berry Burn,4261,Statkraft,,0,0,0,0.0,0
8.2,Renewable energy,Wind,,Onshore,BEIS,UKK,UKK1,UKK11,-2.67349737296462,51.5115271788285,Avon,,"Bristol Sewage Treatment Work, Bristol, BS11 0YS",South West,England,2014/06/02,,,2.05,4,Avonmouth Wind Power,3664,Wessex Water Engineering Services,,0,0,0,0.0,0
25.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.39569786414521,56.8363910803586,Grampian,,Land to North ofTullo FarmLaurencekirk,Scotland,Scotland,2014/06/30,,,2.5,10,Easter Tulloch Wind Farm (Tullo Extension),4365,N R Gammie Partnership,,0,0,0,0.0,0
7.2,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF2,UKF24,-0.86165516697799,52.1617213064017,Northamptonshire,,Land between Roade Courteenhall Hartwell and the M1,East Midlands,England,2014/06/30,,,0.8,9,M1 Wind Farm,4399,Wind Prospect Developments,,0,0,0,0.0,0
