electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,address,region,country,commissioning_date,solar_mounting_type,chp,capacity_individual_turbine,number_of_turbines,site_name,uk_beis_id,operator,comment
2.0,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH1,UKH12,0.12147829981841,52.57133871172461,Cambridgeshire,,"Anglian Water Authority, Creek Road, March, Cambridgeshire PE15 8RY",Eastern,England,2012-01-09,,,2.0,1.0,MARCH SEWAGE TREATMENT WORKS - WIND TURBINE,2875.0,TCI Renewables,
9.1,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM92,-4.51646632887074,54.87249297676897,Dumfries and Galloway,,"Balmurrie Fell, Newton Stewart, Dunfries & Galloway. DG8",Scotland,Scotland,2012-01-09,,,1.3,7.0,Balmurrie Fell Wind Farm,4445.0,Scottish Southern Energy,
3.4,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC2,UKC21,-1.49062749886387,55.12052201779719,Northumberland,,"Blyth Harbour, North Blyth, Cambois, Bedlington, Northumberland",North East,England,2012-01-09,,,3.4,1.0,Blyth Harbour Wind Farm (re-power),4663.0,Hainsford Energy,
350.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM95,-3.54273429722886,55.44163428786478,Strathclyde,,"Clyde Wind farm, Lowther Hills, between Crawford and Nether Howecleuch,NW of Lockerbie",Scotland,Scotland,2012-01-10,,,2.3,152.0,Clyde Wind Farm,4011.0,Scottish and Southern Energy (SSE)/ Greencoat UK Wind,
4.0,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC1,UKC11,-1.26239642960157,54.49586702838256,Cleveland,,"Land Adjacent Hilton Road, Seamer, Middlesbrough",Yorkshire and Humber,England,2012-01-11,,,2.0,2.0,Seamer Wind Farm - Hambleton,3791.0,"Infinis, previously Broadview Energy",
6.0,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC1,UKC11,-1.25852086787936,54.49417172103819,County Durham,,Between the villages of Hilton and Seamer on the Stockton-on-Tees and North Yorkshire boundaries.,North East,England,2012-01-11,,,2.0,3.0,Seamer Windfarm - Stockton on Tees,3984.0,Broadview Energy,
10.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM65,-2.69251731799512,59.18929608098151,Orkney Islands,,"Spurness, Sanday",Scotland,Scotland,2012-01-12,,,2.0,5.0,Spurness Wind Farm Repowering,3837.0,Scottish and Southern Energy (SSE),
2.3,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.64615809288904,57.65985978933739,Grampian,,Cairnton RoadBoyndieBanffAB45 2LR,Scotland,Scotland,2012-01-18,,,2.3,1.0,Mornflake Oats Wind Turbine,2822.0,Mornflake Oats/ Hamlyns Oats,
8.0,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE3,UKE31,-1.23971375997116,53.53303542861091,South Yorkshire,,"Marr, South Yorkshire",Yorkshire and Humber,England,2012-01-18,,,2.0,4.0,Marr Windfarm,3963.0,Banks Renewables,
5.2,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.29060917892176,56.9334766307591,Grampian,,"Clochnahill, Stonehaven AB39 2XY",Scotland,Scotland,2012-01-20,,,1.3,4.0,Clochnahill Wind Farm,2839.0,Private Developer,
